name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD Ryzen 7 7800X3D,339,8,4.2,5,120,Radeon,TRUE
AMD Ryzen 5 7600X,204.99,6,4.7,5.3,105,Radeon,TRUE
AMD Ryzen 5 5600X,144.31,6,3.7,4.6,65,Unknown,TRUE
AMD Ryzen 5 7600,185,6,3.8,5.1,65,Radeon,TRUE
Intel Core i9-14900K,544.99,24,3.2,6,125,Intel UHD Graphics 770,TRUE
Intel Core i7-14700K,399.99,20,3.4,5.6,125,Intel UHD Graphics 770,TRUE
Intel Core i5-12400F,128,6,2.5,4.4,65,Unknown,TRUE
AMD Ryzen 5 3600,84,6,3.6,4.2,65,Unknown,TRUE
AMD Ryzen 7 7700X,288.81,8,4.5,5.4,105,Radeon,TRUE
AMD Ryzen 9 7950X3D,564,16,4.2,5.7,120,Radeon,TRUE
AMD Ryzen 5 5600,129.99,6,3.5,4.4,65,Unknown,TRUE
AMD Ryzen 7 5800X,202,8,3.8,4.7,105,Unknown,TRUE
Intel Core i5-12600KF,159.13,10,3.7,4.9,125,Unknown,TRUE
AMD Ryzen 5 5500,91.53,6,3.6,4.2,65,Unknown,TRUE
Intel Core i7-12700K,248,12,3.6,5,125,Intel UHD Graphics 770,TRUE
AMD Ryzen 7 5700X,171.89,8,3.4,4.6,65,Unknown,TRUE
Intel Core i7-13700K,359,16,3.4,5.4,125,Intel UHD Graphics 770,TRUE
Intel Core i5-12600K,175.74,10,3.7,4.9,125,Intel UHD Graphics 770,TRUE
AMD Ryzen 7 5800X3D,261.18,8,3.4,4.5,105,Unknown,TRUE
AMD Ryzen 9 7900X,396.58,12,4.7,5.6,170,Radeon,TRUE
AMD Ryzen 5 5600G,134.48,6,3.9,4.4,65,Radeon Vega 7,TRUE
AMD Ryzen 9 5900X,277.99,12,3.7,4.8,105,Unknown,TRUE
Intel Core i5-13600K,283.99,14,3.5,5.1,125,Intel UHD Graphics 770,TRUE
Intel Core i9-14900KS,652.95,24,3.2,6.2,150,Intel UHD Graphics 770,TRUE
Intel Core i7-12700KF,223.95,12,3.6,5,125,Unknown,TRUE
Intel Core i3-12100F,94.98,4,3.3,4.3,58,Unknown,TRUE
Intel Core i5-13600KF,249.99,14,3.5,5.1,125,Unknown,TRUE
AMD Ryzen 7 7700,281.63,8,3.6,5.3,65,Radeon,TRUE
AMD Threadripper 3990X,4255,64,2.9,4.3,280,Unknown,TRUE
Intel Core i9-13900K,486.59,24,3,5.8,125,Intel UHD Graphics 770,TRUE
Intel Core i7-14700KF,375.74,20,3.4,5.6,125,Unknown,TRUE
Intel Core i5-13400F,185.99,10,2.5,4.6,65,Unknown,TRUE
AMD Ryzen 9 7900X3D,403.99,12,4.4,5.6,120,Radeon,TRUE
Intel Core i9-12900K,334,16,3.2,5.2,125,Intel UHD Graphics 770,TRUE
AMD Ryzen 5 4500,72.77,6,3.6,4.1,65,Unknown,TRUE
AMD Ryzen 9 7950X,510.38,16,4.5,5.7,170,Radeon,TRUE
Intel Core i5-14600K,295.99,14,3.5,5.3,125,Intel UHD Graphics 770,TRUE
AMD Ryzen 7 3700X,205.84,8,3.6,4.4,65,Unknown,TRUE
Intel Core i7-13700KF,303.49,16,3.4,5.4,125,Unknown,TRUE
AMD Ryzen 7 5700G,174.4,8,3.8,4.6,65,Radeon Vega 8,TRUE
AMD Ryzen 7 5700X3D,214.99,8,3,4.1,105,Unknown,TRUE
AMD Ryzen 5 7500F,0,6,3.7,5,65,Unknown,TRUE
AMD Ryzen 9 5950X,363,16,3.4,4.9,105,Unknown,TRUE
Intel Core i5-14600KF,293.99,14,3.5,5.3,125,Unknown,TRUE
AMD Ryzen 5 8500G,179,6,4.1,5,65,Radeon 740M,TRUE
Intel Core i9-14900KF,509.14,24,3.2,6,125,Unknown,TRUE
Intel Core i5-10400F,97.99,6,2.9,4.3,65,Unknown,TRUE
AMD Ryzen 5 4600G,95.16,6,3.7,4.2,65,Radeon Vega 7,TRUE
AMD Ryzen 3 4100,68.98,4,3.8,4,65,Unknown,TRUE
Intel Core i5-14400F,199.99,10,2.5,4.7,65,Unknown,TRUE
AMD Ryzen 9 7900,369,12,3.6,5.4,65,Radeon,TRUE
AMD Ryzen 7 8700G,329,8,4.2,5.1,65,Radeon 780M,TRUE
Intel Core i5-14500,239.99,14,2.6,5,65,Intel UHD Graphics 770,TRUE
AMD Ryzen 5 2600,150,6,3.4,3.9,65,Unknown,TRUE
Intel Core i5-12400,156.76,6,2.5,4.4,65,Intel UHD Graphics 730,TRUE
Intel Core i7-9700K,260,8,3.6,4.9,95,Intel UHD Graphics 630,FALSE
AMD Ryzen 3 3200G,81.39,4,3.6,4,65,Radeon Vega 8,FALSE
Intel Core i7-8700K,193,6,3.7,4.7,95,Intel UHD Graphics 630,TRUE
AMD Ryzen 5 8600G,228.99,6,4.3,5,65,Radeon 760M,TRUE
Intel Core i9-13900KF,488.84,24,3,5.8,125,Unknown,TRUE
Intel Core i3-10100F,70.73,4,3.6,4.3,65,Unknown,TRUE
AMD Threadripper 3970X,1675,32,3.7,4.5,280,Unknown,TRUE
AMD Ryzen 5 7500F,0,6,3.7,5,65,Unknown,TRUE
Intel Core i7-14700F,369.55,20,2.1,5.4,65,Unknown,TRUE
Intel Celeron E1400,14,2,2,0,65,Unknown,FALSE
AMD Ryzen 5 3600X,210,6,3.8,4.4,95,Unknown,TRUE
AMD Ryzen 7 2700X,210,8,3.7,4.3,105,Unknown,TRUE
Intel Core i9-9900K,405,8,3.6,5,95,Intel UHD Graphics 630,TRUE
Intel Core i3-14100F,114.98,4,3.5,4.7,58,Unknown,TRUE
Intel Core i7-10700K,247.25,8,3.8,5.1,125,Intel UHD Graphics 630,TRUE
AMD Ryzen 9 3900X,395,12,3.8,4.6,105,Unknown,TRUE
Intel Core i5-11400F,115.98,6,2.6,4.4,65,Unknown,TRUE
Intel Core i5-13500,244.85,14,2.5,4.8,65,Intel UHD Graphics 770,TRUE
Intel Core i3-12100,116.98,4,3.3,4.3,60,Intel UHD Graphics 730,TRUE
Intel Core i9-12900KF,339.55,16,3.2,5.2,125,Unknown,TRUE
Intel Core i7-12700F,249.99,12,2.1,4.9,65,Unknown,TRUE
Intel Core i3-13100F,109.99,4,3.4,4.5,58,Unknown,TRUE
Intel Core i5-9400F,95.99,6,2.9,4.1,65,Unknown,FALSE
Intel Core i7-7700K,230,4,4.2,4.5,91,Intel HD Graphics 630,TRUE
Intel Core i7-6700K,180,4,4,4.2,91,Intel HD Graphics 530,TRUE
Intel Core i9-13900KS,589.99,24,3,6,150,Intel UHD Graphics 770,TRUE
AMD Ryzen 5 3600,119.99,6,3.6,4.2,65,Unknown,TRUE
Intel Core i7-13700F,349.98,16,2.1,5.2,65,Unknown,TRUE
AMD Ryzen 7 3800X,285,8,3.9,4.5,105,Unknown,TRUE
Intel Core i7-11700K,233,8,3.6,5,125,Intel UHD Graphics 750,TRUE
AMD Ryzen 5 3400G,98.15,4,3.7,4.2,65,Radeon Vega 11,TRUE
Intel Core i5-9600K,137,6,3.7,4.6,95,Intel UHD Graphics 630,FALSE
Intel Core i9-11900K,257.99,8,3.5,5.3,125,Intel UHD Graphics 750,TRUE
Intel Core i5-10400,130,6,2.9,4.3,65,Intel UHD Graphics 630,TRUE
Intel Core i5-6500,67,4,3.2,3.6,65,Intel HD Graphics 530,FALSE
AMD Ryzen 5 2600X,195,6,3.6,4.2,95,Unknown,TRUE
Intel Core i7-8700,200,6,3.2,4.6,65,Intel UHD Graphics 630,TRUE
Intel Core i9-10900K,450,10,3.7,5.3,125,Intel UHD Graphics 630,TRUE
Intel Core i7-14700,399.98,20,2.1,5.4,65,Intel UHD Graphics 770,TRUE
Intel Core i5-13400,228.98,10,2.5,4.6,65,Intel UHD Graphics 730,TRUE
Intel Core i5-8400,124,6,2.8,4,65,Intel UHD Graphics 630,FALSE
AMD Ryzen 5 5500GT,115,6,3.6,4.4,65,Radeon Vega 7,TRUE
Intel Core i3-14100,149,4,3.5,4.7,60,Intel UHD Graphics 730,TRUE
Intel Core i7-4790K,0,4,4,4.4,88,Intel HD Graphics 4600,TRUE
Intel Core i7-6700,128,4,3.4,4,65,Intel HD Graphics 530,TRUE
Intel Core i7-10700F,218.99,8,2.9,4.8,65,Unknown,TRUE
Intel Core i7-12700,265.49,12,2.1,4.9,65,Intel UHD Graphics 770,TRUE
Intel Core i9-12900KS,369,16,3.4,5.5,150,Intel UHD Graphics 770,TRUE
AMD Ryzen 3 3100,170,4,3.6,3.9,65,Unknown,TRUE
Intel Core i5-4690K,53,4,3.5,3.9,88,Intel HD Graphics 4600,FALSE
Intel Core i5-10600K,169.65,6,4.1,4.8,125,Intel UHD Graphics 630,TRUE
AMD Ryzen 9 3950X,495,16,3.5,4.7,105,Unknown,TRUE
Intel Core i7-7700,167,4,3.6,4.2,65,Intel HD Graphics 630,TRUE
AMD Ryzen 5 5600GT,130,6,3.6,4.6,65,Radeon Vega 7,TRUE
Intel Core i9-10850K,279,10,3.6,5.2,125,Intel UHD Graphics 630,TRUE
AMD Threadripper 3960X,1244.02,24,3.8,4.5,280,Unknown,TRUE
Intel Core i5-11400,136.5,6,2.6,4.4,65,Intel UHD Graphics 730,TRUE
Intel Core i9-11900KF,232,8,3.5,5.3,125,Unknown,TRUE
AMD Ryzen 5 1600 (14nm),256.07,6,3.2,3.6,65,Unknown,TRUE
Intel Core i5-14400,229.98,10,2.5,4.7,65,Intel UHD Graphics 730,TRUE
Intel Core i7-4770,74.95,4,3.4,3.9,84,Intel HD Graphics 4600,TRUE
Intel Core i5-10600KF,123,6,4.1,4.8,125,Unknown,TRUE
Intel Core i7-11700F,201.99,8,2.5,4.9,65,Unknown,TRUE
AMD Ryzen 7 2700,185,8,3.2,4.1,65,Unknown,TRUE
Intel Core i7-6950X,804.98,10,3,3.5,140,Unknown,TRUE
Intel Core i5-11600K,179.99,6,3.9,4.9,125,Intel UHD Graphics 750,TRUE
Intel Core i5-6600K,130,4,3.5,3.9,91,Intel HD Graphics 530,FALSE
Intel Core i3-10100,93.74,4,3.6,4.3,65,Intel UHD Graphics 630,TRUE
Intel Core i7-13700,371.99,16,2.1,5.2,65,Intel UHD Graphics 770,TRUE
Intel Core i5-12500,195.98,6,3,4.6,65,Intel UHD Graphics 770,TRUE
Intel Core i7-10700,234.8,8,2.9,4.8,65,Intel UHD Graphics 630,TRUE
AMD Ryzen 5 1600 (12nm),120,6,3.2,3.6,65,Unknown,TRUE
Intel Core i7-3770,95,4,3.4,0,77,Intel HD Graphics 4000,TRUE
Intel Core i3-10105F,79.78,4,3.7,4.4,65,Unknown,TRUE
Intel Core i5-8600K,139,6,3.6,4.3,95,Intel UHD Graphics 630,FALSE
Intel Xeon E5-2699 V4,190,22,2.2,3.6,145,Unknown,TRUE
Intel Core i9-14900,554.99,24,2,5.8,65,Intel UHD Graphics 770,TRUE
AMD Ryzen 3 2200G,130,4,3.5,3.7,65,Radeon Vega 8,FALSE
Intel Core i9-10900KF,255,10,3.7,5.3,125,Unknown,TRUE
Intel Core i5-7500,89,4,3.4,3.8,65,Intel HD Graphics 630,FALSE
Intel Core i9-9900KF,292,8,3.6,5,95,Unknown,TRUE
AMD Ryzen 9 3950X,2147.03,16,3.5,4.7,105,Unknown,TRUE
AMD Athlon 200GE,69.98,2,3.2,0,35,Radeon Vega 3,TRUE
Intel Core i7-9700,250.26,8,3,4.7,65,Intel HD Graphics 630,FALSE
Intel Core i5-7400,90.35,4,3,3.5,65,Intel HD Graphics 630,FALSE
Intel Core i7-4790,145.1,4,3.6,4,84,Intel HD Graphics 4600,TRUE
AMD Ryzen 7 5700,0,8,3.7,4.6,65,Unknown,TRUE
AMD Ryzen 5 2400G,135,4,3.6,3.9,65,Radeon Vega 11,TRUE
AMD Ryzen 5 3500X,0,6,3.6,4.1,65,Unknown,FALSE
Intel Core i5-3470,59,4,3.2,0,77,Intel HD Graphics 2500,FALSE
Intel Xeon E5-2630 V2,0,6,2.6,3.1,80,Unknown,TRUE
Intel Core i9-14900F,528.99,24,2,5.8,65,Unknown,TRUE
Intel Core i7-4770K,135,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE
AMD Ryzen 7 1700,195,8,3,3.7,65,Unknown,TRUE
Intel Celeron G6900,74.79,2,3.4,0,46,Intel UHD Graphics 710,FALSE
Intel Celeron G5900,40.43,2,3.4,0,58,Intel UHD Graphics 610,FALSE
Intel Core i7-10700KF,240,8,3.8,5.1,125,Unknown,TRUE
Intel Core i7-9700F,289,8,3,4.7,65,Unknown,FALSE
Intel Core i3-9100F,135.19,4,3.6,4.2,65,Unknown,FALSE
AMD Ryzen 5 5600X3D,0,6,3.3,4.4,105,Unknown,TRUE
Intel Core i7-11700,249.44,8,2.5,4.9,65,Intel UHD Graphics 750,TRUE
Intel Core i7-3770K,175,4,3.5,0,77,Intel HD Graphics 4000,TRUE
Intel Core i3-8100,110,4,3.6,0,65,Intel UHD Graphics 630,FALSE
Intel Core i5-4590,0,4,3.3,3.7,84,Intel HD Graphics 4600,FALSE
AMD Ryzen 5 1600X,119.99,6,3.6,4,95,Unknown,TRUE
Intel Xeon E5-2680 V4,1975,14,2.4,3.3,120,Unknown,TRUE
Intel Core i7-11700KF,244.27,8,3.6,5,125,Unknown,TRUE
AMD FX-8350,208,8,4,0,125,Unknown,FALSE
Intel Core i5-4690,51.43,4,3.5,3.9,84,Intel HD Graphics 4600,FALSE
Intel Core i5-7600K,169.02,4,3.8,4.2,91,Intel HD Graphics 630,FALSE
Intel Core i5-8500,172.92,6,3,4.1,65,Intel UHD Graphics 630,FALSE
Intel Core i9-9900KS,1989,8,4,5,127,Intel UHD Graphics 630,TRUE
Intel Core i9-13900,490,24,2,5.6,65,Intel UHD Graphics 770,TRUE
Intel Core i3-13100,147.99,4,3.4,4.5,60,Intel UHD Graphics 730,TRUE
AMD Ryzen 7 3700X,0,8,3.6,4.4,65,Unknown,TRUE
Intel Core i3-4130,41.13,2,3.4,0,54,Intel HD Graphics 4400,TRUE
Intel Core i5-4460,68.56,4,3.2,3.4,84,Intel HD Graphics 4600,FALSE
AMD A6-6400K,75,2,3.9,0,65,Radeon HD 8470D,FALSE
AMD Ryzen 7 1700X,225,8,3.4,3.8,95,Unknown,TRUE
AMD Ryzen 5 1400,110,4,3.2,3.4,65,Unknown,TRUE
Intel Core i5-11600KF,164.89,6,3.9,4.9,125,Unknown,TRUE
AMD Ryzen 3 1200 (14nm),105,4,3.1,3.4,65,Unknown,FALSE
Intel Core i7-9700KF,218,8,3.6,4.9,95,Unknown,FALSE
AMD Ryzen 3 3300X,150,4,3.8,4.3,65,Unknown,TRUE
Intel Core i5-9400,160.91,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE
AMD Ryzen 7 3800XT,349.99,8,3.9,4.7,105,Unknown,TRUE
Intel Core i9-10980XE,1200,18,3,4.8,165,Unknown,TRUE
AMD Ryzen 9 3900XT,379,12,3.8,4.7,105,Unknown,TRUE
AMD Threadripper 1900X,109.99,8,3.8,4,180,Unknown,TRUE
AMD Ryzen 5 3600XT,0,6,3.8,4.5,95,Unknown,TRUE
Intel Core i5-4570,104.54,4,3.2,0,84,Intel HD Graphics 4600,FALSE
Intel Core i3-7350K,40,2,4.2,0,60,Intel HD Graphics 630,TRUE
AMD FX-6300,0,6,3.5,0,95,Unknown,FALSE
Intel Core i3-10105,89.95,4,3.7,4.4,65,Intel UHD Graphics 630,TRUE
Intel Core i5-9600KF,180.12,6,3.7,4.6,95,Unknown,FALSE
Intel Core i9-10900F,259.99,10,2.8,5.2,65,Unknown,TRUE
Intel Core i5-6400,0,4,2.7,3.3,65,Intel HD Graphics 530,FALSE
AMD Athlon 3000G (14nm),0,2,3.5,0,35,Radeon Vega 3,TRUE
AMD Ryzen 5 3600,0,6,3.6,4.2,65,Unknown,TRUE
AMD Ryzen 5 3500,0,6,3.6,4.1,65,Unknown,FALSE
Intel Core i9-13900F,549.99,24,2,5.6,65,Unknown,TRUE
AMD Ryzen 7 1800X,235,8,3.6,4,95,Unknown,TRUE
AMD Ryzen 5 1500X,195,4,3.5,3.7,65,Unknown,TRUE
Intel Core i5-2400,0,4,3.1,0,95,Intel HD Graphics 2000,FALSE
AMD Threadripper 2990WX,2500,32,3,4.2,250,Unknown,TRUE
Intel Core i7-2600,188.49,4,3.4,0,95,Intel HD Graphics 2000,TRUE
Intel Core i5-4670K,62,4,3.4,0,84,Intel HD Graphics 4600,FALSE
Intel Core i3-7100,70,2,3.9,0,51,Intel HD Graphics 630,TRUE
Intel Core i7-4790K,185,4,4,4.4,88,Intel HD Graphics 4600,TRUE
Intel 300,88.1,2,3.9,0,46,Intel UHD Graphics 710,TRUE
Intel Xeon E5-2630,24.28,6,2.3,0,95,Unknown,TRUE
Intel Core i9-11900F,210,8,2.5,5.2,65,Unknown,TRUE
Intel Core i7-8700K,272.5,6,3.7,4.7,95,Intel UHD Graphics 630,TRUE
Intel Core i7-2600K,85,4,3.4,0,95,Intel HD Graphics 3000,TRUE
Intel Core i5-3570K,116.49,4,3.4,0,77,Intel HD Graphics 4000,FALSE
Intel Xeon E5-2683 V4,1998.95,16,2.1,3,120,Unknown,TRUE
Intel Core i5-7600,89,4,3.5,4.1,65,Intel HD Graphics 630,FALSE
Intel Core i3-6100,100,2,3.7,0,51,Intel HD Graphics 530,TRUE
Intel Core i5-10500,238.99,6,3.1,4.5,65,Intel UHD Graphics 630,TRUE
AMD Ryzen 9 PRO 7945,0,12,3.7,5.4,65,Radeon,TRUE
AMD Threadripper 1920X,270,12,3.5,4,180,Unknown,TRUE
AMD Athlon II X2 240,29.48,2,2.8,0,65,Unknown,FALSE
Intel Core i5-3570,0,4,3.4,0,77,Intel HD Graphics 2500,FALSE
Intel Core i5-6600,0,4,3.3,3.9,65,Intel HD Graphics 530,FALSE
Intel Core i7-6800K,103,6,3.4,3.6,140,Unknown,TRUE
Intel Celeron G4900,48.59,2,3.1,0,65,Intel UHD Graphics 610,FALSE
Intel Core i7-6900K,120,8,3.2,3.7,140,Unknown,TRUE
AMD Ryzen 3 3200G,0,4,3.6,4,65,Radeon Vega 8,FALSE
Intel Core i5-12600,337.11,6,3.3,4.8,65,Intel UHD Graphics 770,TRUE
Intel Pentium Gold G7400,102.73,2,3.7,0,46,Intel UHD Graphics 710,TRUE
Intel Core i7-5820K,0,6,3.3,3.6,140,Unknown,TRUE
Intel Core i5-2500K,0,4,3.3,0,95,Intel HD Graphics 3000,FALSE
Intel Pentium G640,30,2,2.8,0,65,Intel HD Graphics,FALSE
Intel Core i9-9900K,699.99,8,3.6,5,95,Intel UHD Graphics 630,TRUE
Intel Core i5-11600,140,6,2.8,4.8,65,Intel UHD Graphics 750,TRUE
AMD Athlon X4 845,50,4,3.5,3.8,65,Unknown,FALSE
Intel Core 2 Duo E8400,27.55,2,3,0,65,Unknown,FALSE
Intel Core i5-9400F,0,6,2.9,4.1,65,Unknown,FALSE
Intel Core i7-4930K,100,6,3.4,3.9,130,Unknown,TRUE
AMD Threadripper 1950X,914.29,16,3.4,4,180,Unknown,TRUE
Intel Xeon E5-2650 V4,0,12,2.2,2.9,105,Unknown,TRUE
Intel Core i9-12900F,432.99,16,2.4,5.1,65,Unknown,TRUE
Intel Core i5-9500,160.74,6,3,4.4,65,Intel UHD Graphics 630,FALSE
Intel Xeon E5-2640 V3,67.15,8,2.6,3.4,90,Unknown,TRUE
Intel Celeron G4930,48.75,2,3.2,0,54,Intel UHD Graphics 610,FALSE
Intel Core i9-10900X,615,10,3.7,4.7,165,Unknown,TRUE
Intel Core i3-9100,145,4,3.6,4.2,65,Intel UHD Graphics 630,FALSE
AMD 2650,84.71,2,1.45,0,25,Radeon HD 8240,FALSE
Intel Core i3-4150,41.13,2,3.5,0,54,Intel HD Graphics 4400,TRUE
Intel Core i9-10900,275.7,10,2.8,5.2,65,Intel UHD Graphics 630,TRUE
Intel Core i9-12900,458,16,2.4,5.1,65,Intel UHD Graphics 770,TRUE
Intel Core i9-7960X,347.48,16,2.8,4.4,165,Unknown,TRUE
Intel Celeron 420,75.44,1,1.6,0,35,Unknown,FALSE
AMD Threadripper 2950X,1075,16,3.5,4.4,180,Unknown,TRUE
Intel Core i5-11500,146.16,6,2.7,4.6,65,Intel UHD Graphics 750,TRUE
Intel Core i9-9900,464.15,8,3.1,5,65,Intel UHD Graphics 630,TRUE
Intel Core i9-13900T,0,24,1.1,5.3,35,Intel UHD Graphics 770,TRUE
Intel Core i5-7500T,67.63,4,2.7,3.3,35,Intel HD Graphics 630,FALSE
Intel Core i7-4790,0,4,3.6,4,84,Intel HD Graphics 4600,TRUE
Intel Core i7-8086K,450.01,6,4,5,95,Intel UHD Graphics 630,TRUE
Intel Core i5-6500,0,4,3.2,3.6,65,Intel HD Graphics 530,FALSE
AMD Ryzen 9 3900X,0,12,3.8,4.6,105,Unknown,TRUE
Intel Core i7-8700,611.05,6,3.2,4.6,65,Intel UHD Graphics 630,TRUE
AMD FX-8320,175,8,3.5,0,125,Unknown,FALSE
