name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i3-12100T,0,4,2.2,4.1,35,Intel UHD Graphics 730,TRUE
Intel Pentium E5700,19.98,2,3,0,65,Unknown,FALSE
Intel Core i9-7900X,400,10,3.3,4.5,140,Unknown,TRUE
Intel Core i7-2700K,89,4,3.5,0,95,Intel HD Graphics 3000,TRUE
Intel Core i7-7700,329.95,4,3.6,4.2,65,Intel HD Graphics 630,TRUE
Intel Core i5-8400,249.95,6,2.8,4,65,Intel UHD Graphics 630,FALSE
Intel Core i7-7740X,235,4,4.3,4.5,112,Unknown,TRUE
Intel Xeon E5-1650 V4,84.94,6,3.6,4,140,Unknown,TRUE
Intel Core i7-7800X,489.99,6,3.5,4,140,Unknown,TRUE
Intel Pentium Gold G6400,74.99,2,4,0,58,Intel UHD Graphics 610,TRUE
Intel Core i9-10940X,780,14,3.3,4.8,165,Unknown,TRUE
Intel Core i5-4440,100,4,3.1,3.3,84,Intel HD Graphics 4600,FALSE
Intel Core i5-4670,51.48,4,3.4,0,84,Intel HD Graphics 4600,FALSE
Intel Celeron E3500,14.99,2,2.7,0,65,Unknown,FALSE
Intel Core i5-8600,188.38,6,3.1,4.3,65,Intel UHD Graphics 630,FALSE
Intel Core i9-9900K (Standard Folding Box),406.96,8,3.6,5,95,Intel UHD Graphics 630,TRUE
AMD Ryzen 3 1300X,0,4,3.5,3.7,65,Unknown,FALSE
Intel Xeon E5-2667 V3,1008.93,8,3.2,3.6,135,Unknown,TRUE
AMD Ryzen 5 2600,0,6,3.4,3.9,65,Unknown,TRUE
Intel Core i9-11900,269.99,8,2.5,5.2,65,Intel UHD Graphics 750,TRUE
AMD FX-9590,302.58,8,4.7,5,220,Unknown,FALSE
Intel Core i5-8500T,0,6,2.1,3.5,35,Intel UHD Graphics 630,FALSE
AMD Ryzen 3 1200 (12nm),105,4,3.1,3.4,65,Unknown,FALSE
AMD Ryzen 5 3600,262.86,6,3.6,4.2,65,Unknown,TRUE
Intel Core i5-2500,0,4,3.3,0,95,Intel HD Graphics 2000,FALSE
Intel Core i3-2100,49,2,3.1,0,65,Intel HD Graphics 2000,TRUE
AMD Ryzen 5 2600X,0,6,3.6,4.2,95,Unknown,TRUE
Intel Xeon E5-2683 V4,189.95,16,2.1,3,120,Unknown,TRUE
Intel Core i9-10850KA Avengers Limited Edition,0,10,3.6,5.2,125,Intel UHD Graphics 630,TRUE
Intel Celeron G3900,39.9,2,2.8,0,51,Intel HD Graphics 510,FALSE
Intel Core i7-6850K,115,6,3.6,3.8,140,Unknown,TRUE
Intel Core i3-4170,0,2,3.7,0,54,Intel HD Graphics 4400,TRUE
Intel Core i7-7700K,0,4,4.2,4.5,91,Intel HD Graphics 630,TRUE
Intel Core i9-7980XE,1156.2,18,2.6,4.4,165,Unknown,TRUE
Intel Xeon E5-2698 V3,0,16,2.3,3.6,135,Unknown,TRUE
Intel Core i3-3220,0,2,3.3,0,55,Intel HD Graphics 2500,TRUE
AMD FX-8370,234.98,8,4,4.3,125,Unknown,FALSE
AMD Ryzen 5 3600X,0,6,3.8,4.4,95,Unknown,TRUE
Intel Celeron G5905,0,2,3.5,0,58,Intel UHD Graphics 610,FALSE
AMD Threadripper 2970WX,1099.99,24,3,4.2,250,Unknown,TRUE
Intel Core i7-9700F,395.34,8,3,4.7,65,Unknown,FALSE
Intel Core i7-4820K,205.86,4,3.7,3.9,130,Unknown,TRUE
Intel Core i7-5930K,0,6,3.5,3.7,140,Unknown,TRUE
AMD Threadripper 2920X,707.8,12,3.5,4.3,180,Unknown,TRUE
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,FALSE
AMD Ryzen 7 3800X,0,8,3.9,4.5,105,Unknown,TRUE
Intel Core i5-13500T,0,14,1.6,4.6,35,Intel UHD Graphics 770,TRUE
AMD Athlon X2 340,0,2,3.2,0,65,Unknown,FALSE
Intel Pentium G4560,133.41,2,3.5,0,54,Intel HD Graphics 610,TRUE
Intel Xeon E5-2697 V4,0,18,2.3,3.6,145,Unknown,TRUE
AMD FX-8300,117.33,8,3.3,0,95,Unknown,FALSE
Intel Core i7-9700K,0,8,3.6,4.9,95,Intel UHD Graphics 630,FALSE
Intel Core i7-6700K,0,4,4,4.2,91,Intel HD Graphics 530,TRUE
Intel Core i3-2120,150.59,2,3.3,0,65,Intel HD Graphics 2000,TRUE
Intel Core i7-7820X,0,8,3.6,4.5,140,Unknown,TRUE
Intel Core i5-13600,0,14,2.7,5,65,Intel UHD Graphics 770,TRUE
AMD 5350,0,4,2.05,0,25,Radeon HD 8400,FALSE
Intel Core i5-9400,110,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE
Intel Core i3-4160,0,2,3.6,0,54,Intel HD Graphics 4400,TRUE
Intel Core i5-3470S,50,4,2.9,0,65,Intel HD Graphics 2500,FALSE
Intel Core i7-6950X,506.35,10,3,3.5,140,Unknown,TRUE
Intel Core i7-5960X,0,8,3,3.5,140,Unknown,TRUE
Intel Core i9-10920X,799,12,3.5,4.8,165,Unknown,TRUE
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,85,Unknown,TRUE
Intel Core i5-7400T,0,4,2.4,3,35,Intel HD Graphics 630,FALSE
Intel Pentium G2020,34.99,2,2.9,0,55,Intel HD Graphics,FALSE
Intel Pentium Gold G5400,72.95,2,3.7,0,58,Intel UHD Graphics 610,TRUE
Intel Core i9-9980XE,1498.95,18,3,4.4,165,Unknown,TRUE
Intel Xeon E5-1650 V3,54.46,6,3.5,3.8,140,Unknown,TRUE
Intel Core i7-6700,354.99,4,3.4,4,65,Intel HD Graphics 530,TRUE
Intel Xeon E5-2687W V4,1900.16,12,3,3.5,160,Unknown,TRUE
Intel Core i7-13700T,0,16,1.4,4.9,35,Unknown,TRUE
Intel Core i5-9600K,0,6,3.7,4.6,95,Intel UHD Graphics 630,FALSE
AMD FX-6350,100,6,3.9,0,125,Unknown,FALSE
Intel Core i7-3930K,298.98,6,3.2,0,130,Unknown,TRUE
Intel Xeon E5-2699 V3,0,18,2.3,3.6,145,Unknown,TRUE
Intel Core i5-3330,0,4,3,0,77,Intel HD Graphics 2500,FALSE
Intel Core i7-980X Extreme Edition,153.64,6,3.33,0,130,Unknown,TRUE
Intel Xeon E5-2690 V4,1025.58,14,2.6,3.5,135,Unknown,TRUE
Intel Core i5-10600,349.95,6,3.3,4.8,65,Intel UHD Graphics 630,TRUE
Intel Core i5-3450,59,4,3.1,0,77,Intel HD Graphics 2500,FALSE
Intel Xeon E5-2697 V2,0,12,2.7,3.5,130,Unknown,TRUE
AMD Ryzen 7 1700X,0,8,3.4,3.8,95,Unknown,TRUE
Intel Core i7-9700,299.8,8,3,4.7,65,Intel HD Graphics 630,FALSE
Intel Core i3-4370,41.13,2,3.8,0,54,Intel HD Graphics 4600,TRUE
Intel Core i3-13100T,0,4,2.5,4.2,35,Intel UHD Graphics 730,TRUE
AMD Ryzen 9 3900,0,12,3.1,0,65,Unknown,TRUE
Intel Core i3-7100T,41.13,2,3.4,0,35,Intel HD Graphics 630,TRUE
AMD A6-9500,76.69,2,3.5,3.8,65,Radeon R5 (on die),FALSE
AMD A8-7600,0,4,3.1,3.8,65,Radeon R7 (on-die),FALSE
Intel Core i7-870,100,4,2.93,0,95,Unknown,TRUE
Intel Core 2 Quad Q9550,52.55,4,2.83,0,95,Unknown,FALSE
Intel Core i3-10300,104.27,4,3.7,4.4,65,Intel UHD Graphics 630,TRUE
AMD FX-6120,58.53,6,3.5,4.1,95,Unknown,FALSE
Intel Core i3-530,45,2,2.93,0,73,Intel HD Graphics,TRUE
Intel Core 2 Duo E8500,0,2,3.16,0,65,Unknown,FALSE
AMD FX-4300,0,4,3.8,0,95,Unknown,FALSE
AMD Ryzen 5 3400G,0,4,3.7,4.2,65,Radeon Vega 11,TRUE
Intel Core i5-3350P,0,4,3.1,0,69,Unknown,FALSE
Intel Core i7-920,90,4,2.66,0,130,Unknown,TRUE
Intel Core 2 Quad Q6600,0,4,2.4,0,100,Unknown,FALSE
Intel Xeon E3-1231 V3,0,4,3.4,3.8,80,Unknown,TRUE
AMD A8-7680,0,4,3.5,3.8,65,Radeon R7 (on-die),FALSE
Intel Core i9-7920X,556.54,12,2.9,4.4,140,Unknown,TRUE
Intel Core i7-4960X Extreme Edition,775.04,6,3.6,4,130,Unknown,TRUE
Intel Core i7-4770S,117.98,4,3.1,0,65,Intel HD Graphics 4600,TRUE
Intel Xeon E5-2695 V2,189,12,2.4,3.2,115,Unknown,TRUE
Intel Core i9-9980XE,1097,18,3,4.4,165,Unknown,TRUE
AMD FX-6100,72.8,6,3.3,0,95,Unknown,FALSE
Intel Core i3-7320,48,2,4.1,0,51,Intel HD Graphics 630,TRUE
AMD A10-7850K,139.84,4,3.7,4,95,Radeon R7 (on-die),FALSE
Intel Core i7-9800X,0,8,3.8,4.5,165,Unknown,TRUE
Intel Core i7-3820,0,4,3.6,0,130,Unknown,TRUE
AMD Athlon II X4 640,57.01,4,3,0,95,Unknown,FALSE
Intel Xeon E5-2630 V4,335.07,10,2.2,3.1,85,Unknown,TRUE
Intel Xeon E5-2650 V2,185,8,2.6,3.4,95,Unknown,TRUE
Intel Core i7-8700T,304.38,6,2.4,4,35,Intel UHD Graphics 630,TRUE
AMD Ryzen 5 2400G,0,4,3.6,3.9,65,Radeon Vega 11,TRUE
Intel Xeon E5-2660,0,8,2.2,3,95,Unknown,TRUE
Intel Core i5-750,72,4,2.66,0,95,Unknown,FALSE
AMD FX-4350,122.96,4,4.2,0,125,Unknown,FALSE
Intel Pentium E2220,19.98,2,2.4,0,65,Unknown,FALSE
Intel Core i3-3240,106.51,2,3.4,0,55,Intel HD Graphics 2500,TRUE
Intel Core i5-4430,0,4,3,0,84,Intel HD Graphics 4600,FALSE
Intel Xeon E5-2670 V3,0,12,2.3,3.1,120,Unknown,TRUE
Intel Xeon E5-2698 V4,0,20,2.2,3.6,135,Unknown,TRUE
Intel Core 2 Quad Q9300,42.6,4,2.5,0,95,Unknown,FALSE
Intel Pentium G4400,0,2,3.3,0,54,Intel HD Graphics 510,FALSE
AMD Ryzen 5 PRO 7645,0,6,3.8,5.1,65,Radeon,TRUE
Intel Core i5-9600,195,6,3.1,4.6,65,Intel UHD Graphics 630,FALSE
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,TRUE
Intel Core i5-6402P,80,4,2.8,3.4,65,Intel HD Graphics 510,FALSE
Intel Core i7-3770S,0,4,3.1,0,65,Intel HD Graphics 4000,TRUE
Intel Core i9-9960X,998.95,16,3.1,4.4,165,Unknown,TRUE
Intel Celeron G4920,50.27,2,3.2,0,65,Intel UHD Graphics 610,FALSE
Intel Core i7-7800X,289.95,6,3.5,4,140,Unknown,TRUE
AMD Ryzen 7 PRO 7745,0,8,3.8,5.3,65,Radeon,TRUE
Intel Xeon E5-2660 V4,399,14,2,3.2,105,Unknown,TRUE
AMD FX-9370,198.5,8,4.4,4.7,220,Unknown,FALSE
Intel Core i7-4790S,0,4,3.2,4,65,Intel HD Graphics 4000,TRUE
Intel Core i5-8600K,0,6,3.6,4.3,95,Intel UHD Graphics 630,FALSE
Intel Core i5-9500T,0,6,2.2,3.7,35,Intel UHD Graphics 630,FALSE
Intel Core i7-6700T,0,4,2.8,3.6,35,Intel HD Graphics 530,TRUE
Intel Core i7-860,361.21,4,2.8,0,95,Unknown,TRUE
Intel Celeron G4900T,59.95,2,1.8,0,35,Intel UHD Graphics 610,FALSE
AMD Phenom II X4 965 Black,0,4,3.4,0,125,Unknown,FALSE
Intel Xeon E5-2697 V3,0,14,2.6,3.6,145,Unknown,TRUE
AMD Ryzen 3 2200G,0,4,3.5,3.7,65,Radeon Vega 8,FALSE
AMD A8-6600K,92.86,4,3.9,0,100,Radeon HD 8570D,FALSE
Intel Pentium G3258,51.36,2,3.2,0,53,Intel HD Graphics,FALSE
Intel Core i5-6500T,0,4,2.5,3.1,35,Intel HD Graphics 530,FALSE
Intel Core 2 Quad Q9650,0,4,3,0,95,Unknown,FALSE
Intel Core i3-8350K,0,4,4,0,91,Intel UHD Graphics 630,FALSE
Intel Core i5-2320,0,4,3,0,95,Intel HD Graphics 2000,FALSE
Intel Core i9-7900X,898.95,10,3.3,4.5,140,Unknown,TRUE
Intel Core i5-3550,335,4,3.3,0,77,Intel HD Graphics 2500,FALSE
Intel Xeon E5-2680 V3,0,12,2.5,3.3,120,Unknown,TRUE
AMD Athlon X4 970,0,4,3.8,4,65,Unknown,FALSE
Intel Celeron E3400,18.98,2,2.6,0,65,Unknown,FALSE
Intel Core i3-9350KF,206,4,4,4.6,91,Unknown,FALSE
AMD Athlon X4 860K,0,4,3.7,4,95,Unknown,FALSE
Intel Xeon E5-1620 V3,69.02,4,3.5,3.6,140,Unknown,TRUE
AMD FX-6300,78.51,6,3.5,0,95,Unknown,FALSE
Intel Core i3-3250,57.65,2,3.5,0,55,Intel HD Graphics 2500,TRUE
Intel Core i5-2400S,70,4,2.5,0,65,Intel HD Graphics 2000,FALSE
AMD A6-3670K,0,4,2.7,0,100,Radeon HD 6530D,FALSE
Intel Core i3-8100T,0,4,3.1,0,35,Intel UHD Graphics 630,FALSE
Intel Core 2 Duo E7500,99.63,2,2.93,0,65,Unknown,FALSE
Intel Core i3-7100,74.9,2,3.9,0,51,Intel HD Graphics 630,TRUE
AMD A10-9700,0,4,3.5,3.8,65,Radeon R7 (on-die),FALSE
Intel Xeon E5-1630 V4,229.95,4,3.7,4,140,Unknown,TRUE
AMD Phenom II X6 1090T Black,0,6,3.2,0,125,Unknown,FALSE
Intel Pentium Gold G6405,88.72,2,4.1,0,58,Intel UHD Graphics 610,TRUE
Intel Celeron G5920,52.99,2,3.5,0,58,Intel UHD Graphics 610,FALSE
Intel Xeon E5-2687W V3,0,10,3.1,3.5,160,Unknown,TRUE
Intel Core i5-7600K,0,4,3.8,4.2,91,Intel HD Graphics 630,FALSE
Intel Core i7-10700K Avengers Collector's Edition,741,8,3.8,5.1,125,Intel UHD Graphics 630,TRUE
Intel Core i7-950,100,4,3.06,0,130,Unknown,TRUE
AMD Athlon II 160u,0,1,1.8,0,20,Unknown,FALSE
Intel Core i5-650,70,2,3.2,0,73,Intel HD Graphics,TRUE
AMD A8-9600,0,4,3.1,3.4,65,Radeon R7 (on-die),FALSE
Intel Xeon E5-2620 V4,429.95,8,2.1,3,85,Unknown,TRUE
Intel Celeron 440,29.98,1,2,0,35,Unknown,FALSE
Intel Core i5-4570T,75.13,2,2.9,0,35,Intel HD Graphics 4600,TRUE
Intel Xeon E5-1660 V2,1129,6,3.7,4,130,Unknown,TRUE
Intel Xeon E5-2620,36.75,6,2,0,95,Unknown,TRUE
Intel Xeon E5-4620,58.67,8,2.2,2.6,95,Unknown,TRUE
Intel Core i5-760,100,4,2.8,0,95,Unknown,FALSE
Intel Core i5-4570S,0,4,2.9,0,65,Intel HD Graphics 4600,FALSE
Intel Pentium Gold G6500,70.98,2,4.1,0,58,Intel UHD Graphics 630,TRUE
Intel Xeon E-2176G,643.62,6,3.7,4.7,80,Intel HD Graphics P630,TRUE
Intel Core i7-4770K,231.05,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE
Intel Core i5-7400,110,4,3,3.5,65,Intel HD Graphics 630,FALSE
Intel Celeron G5925,53.99,2,3.6,0,58,Intel UHD Graphics 610,FALSE
Intel Xeon E3-1230 V2,271.85,4,3.3,0,69,Unknown,TRUE
Intel Xeon E3-1240L V5,0,4,2.1,3.2,25,Unknown,TRUE
Intel Core i9-10900K,0,10,3.7,5.3,125,Intel UHD Graphics 630,TRUE
Intel Core i9-9900X,655.06,10,3.5,4.4,165,Unknown,TRUE
Intel Core i7-3970X Extreme Edition,0,6,3.5,0,150,Unknown,TRUE
Intel Core i3-6100,98.95,2,3.7,0,51,Intel HD Graphics 530,TRUE
AMD FX-8350,192.57,8,4,0,125,Unknown,FALSE
Intel Xeon E5-2640,43.31,6,2.5,3,95,Unknown,TRUE
Intel Core i7-5820K,429.95,6,3.3,3.6,140,Unknown,TRUE
Intel Core i5-4590S,0,4,3,3.7,65,Intel HD Graphics 4000,FALSE
AMD A8-7650K,0,4,3.3,3.7,95,Radeon R7 (on-die),FALSE
Intel Core i3-6300,92.54,2,3.8,0,51,Intel HD Graphics 530,TRUE
Intel Core i5-7500,0,4,3.4,3.8,65,Intel HD Graphics 630,FALSE
AMD Ryzen 7 2700,0,8,3.2,4.1,65,Unknown,TRUE
Intel Core i7-960,220,4,3.2,0,130,Unknown,TRUE
Intel Core i5-9500F,249,6,3,4.4,65,Unknown,FALSE
Intel Xeon E3-1270 V3,420,4,3.5,3.9,80,Unknown,TRUE
Intel Core 2 Extreme QX9770,0,4,3.2,0,136,Unknown,FALSE
Intel Xeon E5-2695 V4,0,18,2.1,3.3,120,Unknown,TRUE
Intel Core 2 Extreme QX9650,152.52,4,3,0,130,Unknown,FALSE
Intel Core i5-8400T,139,6,1.7,3.3,35,Intel UHD Graphics 630,FALSE
AMD Athlon X2 370K,0,2,4.2,0,65,Unknown,FALSE
Intel Xeon E5-1660 V3,204.44,8,3,3.5,140,Unknown,TRUE
AMD FX-8150,0,8,3.6,0,125,Unknown,FALSE
AMD A10-6800K,467.04,4,4.1,0,100,Radeon HD 8670D,FALSE
Intel Core i7-4771,0,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE
AMD A10-7800,0,4,3.5,3.9,65,Radeon R7 (on-die),FALSE
AMD Athlon X4 950,0,4,3.5,3.8,65,Unknown,FALSE
Intel Xeon E5-2650,89,8,2,2.8,95,Unknown,TRUE
Intel Celeron G4900,72.55,2,3.1,0,65,Intel UHD Graphics 610,FALSE
Intel Core i5-4690K,0,4,3.5,3.9,88,Intel HD Graphics 4600,FALSE
AMD A10-7860k,0,4,3.6,4,65,Radeon R7 (on-die),FALSE
Intel Core i9-9900,0,8,3.1,5,65,Intel UHD Graphics 630,TRUE
AMD Ryzen 7 PRO 7745,0,8,3.8,5.3,65,Radeon,TRUE
Intel Xeon E3-1245 V5,474.39,4,3.5,3.9,80,Intel HD Graphics P530,TRUE
Intel Xeon E5-1620 V4,148.94,4,3.5,3.8,140,Unknown,TRUE
Intel Pentium Gold G5400,0,2,3.7,0,58,Intel UHD Graphics 610,TRUE
Intel Core i9-9960X,0,16,3.1,4.4,165,Unknown,TRUE
AMD Athlon 3000G (14nm),0,2,3.5,0,35,Radeon Vega 3,TRUE
AMD A10-7890K,0,4,4.1,4.3,95,Radeon R7 (on-die),FALSE
Intel Xeon E5-2660 V3,0,10,2.6,3.3,105,Unknown,TRUE
AMD Phenom II X4 955,0,4,3.2,0,125,Unknown,FALSE
Intel Core i5-4670S,535,4,3.1,3.8,65,Intel HD Graphics 4600,FALSE
AMD FX-8320,106.55,8,3.5,0,125,Unknown,FALSE
Intel Core i5-9400,0,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE
Intel Core i5-8500,172.92,6,3,4.1,65,Intel UHD Graphics 630,FALSE
Intel Core i5-9600KF,339.95,6,3.7,4.6,95,Unknown,FALSE
AMD A8-5600K,249.99,4,3.6,0,100,Radeon HD 7560D,FALSE
Intel Core i5-6400,0,4,2.7,3.3,65,Intel HD Graphics 530,FALSE
Intel Core i7-3960X Extreme Edition,295.16,6,3.3,0,130,Unknown,TRUE
Intel Xeon E5-2660 V3,149.94,10,2.6,3.3,105,Unknown,TRUE
Intel Core i3-7100T,48.1,2,3.4,0,35,Intel HD Graphics 630,TRUE
Intel Core i9-7980XE,1249.95,18,2.6,4.4,165,Unknown,TRUE
Intel Xeon E5-2620 V3,80,6,2.4,3.2,85,Unknown,TRUE
Intel Xeon E5-2640 V4,0,10,2.4,3.4,90,Unknown,TRUE
Intel Celeron G1610,37,2,2.6,0,55,Intel HD Graphics,FALSE
Intel Core i3-540,60,2,3.06,0,73,Intel HD Graphics,TRUE
AMD A10-7700K,132.86,4,3.4,3.8,95,Radeon R7 (on-die),FALSE
Intel Xeon E3-1230 V3,315.86,4,3.3,3.7,80,Unknown,TRUE
AMD FX-6350,0,6,3.9,0,125,Unknown,FALSE
Intel Pentium Gold G5500,64.06,2,3.8,0,54,Intel UHD Graphics 630,TRUE
Intel Xeon E5-2690 V2,0,10,3,3.6,130,Unknown,TRUE
AMD FX-8320E,0,8,3.2,4,95,Unknown,FALSE
AMD Phenom II X6 1100T Black,0,6,3.3,0,125,Unknown,FALSE
Intel Core i5-2300,0,4,2.8,0,95,Intel HD Graphics 2000,FALSE
Intel Xeon E5-2650 V3,0,10,2.3,3,105,Unknown,TRUE
Intel Xeon E-2124,110,4,3.3,4.3,71,Unknown,FALSE
Intel Core i7-4770K,155.86,4,3.5,3.9,84,Intel HD Graphics 4600,TRUE
AMD FX-8350,253.24,8,4,0,125,Unknown,FALSE
Intel Pentium G3220,0,2,3,0,54,Intel HD Graphics,FALSE
Intel Core i3-6098P,59,2,3.6,0,54,Intel HD Graphics 510,TRUE
Intel Pentium G4600,0,2,3.6,0,51,Intel HD Graphics 630,TRUE
