name,price,capacity_w,capacity_va
CyberPower CP1500PFCLCD,219.95,1000.0,1500.0
APC SURT20KRMXLT,17175.0,16000.0,20000.0
APC SRT10KXLI,20719.0,10000.0,10000.0
APC SRT10KRMXLI,14500.0,10000.0,10000.0
APC Back-UPS 1500,174.99,900.0,1500.0
CyberPower CP1500AVRLCD,239.66,900.0,1500.0
CyberPower ST425,53.95,260.0,425.0
APC Back-UPS Pro 1500S,276.0,900.0,1500.0
APC SRT10KXLT,8000.0,10000.0,10000.0
CyberPower CP550SLG,69.95,330.0,550.0
CyberPower CP1000PFCLCD,164.95,600.0,1000.0
CyberPower PR2200LCDSL,855.95,1980.0,2070.0
CyberPower CP1500AVRLCD3,189.95,900.0,1500.0
CyberPower CST135XLU,139.99,810.0,1350.0
CyberPower PR3000LCD,1319.95,2700.0,3000.0
APC Back-UPS Pro 1500VA,179.99,900.0,1500.0
PowerWalker Basic VI 2200 STL UK,0.0,1320.0,2200.0
CyberPower EC850LCD,109.95,510.0,850.0
APC Back-UPS Pro 1500,279.99,865.0,1500.0
APC Back-UPS Pro 1500VA for Gaming,0.0,900.0,1500.0
APC SURTA3000XL,3308.22,2100.0,3000.0
APC Back-UPS Pro 700VA,149.99,420.0,700.0
APC SUA5000RMI5U,8475.0,4000.0,5000.0
APC BE850G2,133.99,450.0,850.0
CyberPower OR2200LCDRTXL2U,822.95,1650.0,2190.0
CyberPower AVRG750U,109.95,450.0,750.0
CyberPower CP1200AVR,152.95,720.0,1200.0
CyberPower CP1350AVRLCD,189.99,810.0,1350.0
CyberPower PR1500LCD,545.95,1050.0,1500.0
CyberPower EC650LCD,87.95,390.0,650.0
APC Back-UPS Pro 1000S,174.9,600.0,1000.0
APC BE600M1,79.0,330.0,600.0
CyberPower CP1350PFCLCD,199.95,810.0,1350.0
CyberPower CP1300EPFCLCD,0.0,780.0,1300.0
APC SRT5KXLI,6356.0,4500.0,5000.0
CyberPower OR2200PFCRT2U,669.95,1320.0,2000.0
APC BE670M1,77.99,360.0,675.0
CyberPower PR2200LCD,1029.95,1980.0,2200.0
CyberPower OR2200LCDRT2U,604.95,1320.0,2000.0
Tripp Lite SMART1500PSGLCD,293.8,900.0,1500.0
CyberPower CP1500EPFCLCD,0.0,900.0,1500.0
APC Back-UPS 1000,169.99,600.0,1000.0
CyberPower EC750G,98.95,450.0,750.0
APC SMX1500RMI2UNC,1458.5,1200.0,1500.0
CyberPower OR1500LCDRTXL2U,629.95,1125.0,1500.0
APC BK325I,0.0,210.0,325.0
APC Easy UPS BV1000I-MS 230V,0.0,600.0,1000.0
APC SMX2200RMHV2U,1964.35,1980.0,2200.0
APC SRT10KRMXLT,5800.0,10000.0,10000.0
APC BE650G1,80.74,390.0,650.0
APC SRT6KXLT,5500.0,6000.0,6000.0
CyberPower CP1000AVRLCD,159.94,600.0,1000.0
CyberPower LE1000DG,119.99,530.0,1000.0
APC SRT5KXLT,4303.97,4250.0,5000.0
CyberPower EC550G,0.0,330.0,550.0
APC SRT6KRMXLI,11645.0,6000.0,6000.0
APC Back-UPS Pro 1350S,229.5,810.0,1350.0
APC BN1080G,0.0,650.0,1080.0
Tripp Lite SMART1300LCDT,170.3,720.0,1300.0
Tripp Lite SMART3000RMXL2U,1393.38,2880.0,3000.0
CyberPower CP850PFCLCD,154.94,510.0,850.0
HP AF461A,2945.0,4500.0,5000.0
HP AF450A,195.0,950.0,1400.0
APC SMT2200,1499.98,1980.0,2200.0
APC SMX3000RMHV2UNC,3149.0,2700.0,3000.0
Tripp Lite SUINT2000XL,0.0,1400.0,2000.0
CyberPower CP1500AVRT,194.95,900.0,1500.0
CyberPower PR3000LCDSL,1173.95,2700.0,3000.0
Tripp Lite SMART1500LCD,304.36,900.0,1500.0
APC BR1000G,229.0,600.0,1000.0
CyberPower AVRG900U,109.95,480.0,900.0
APC Back-UPS Pro 1500VA for Gaming,388.77,900.0,1500.0
APC SMT1500RMI1U,1649.07,1000.0,1500.0
Tripp Lite BC350,64.0,180.0,350.0
APC SMX2000LV,1485.0,1800.0,1920.0
Tripp Lite SMART1500LCDT,243.47,900.0,1500.0
CyberPower CP900AVR,138.95,560.0,900.0
APC SMC1500I,854.12,900.0,1500.0
CyberPower PR5000LCDRTXL5U,3095.58,4000.0,5000.0
APC SMT1500US,0.0,1000.0,1440.0
CyberPower CP1500PFCLCDTAA,277.95,900.0,1500.0
Tripp Lite SM3000RMXL2UTAA,1263.92,2880.0,3000.0
CyberPower CP425SLG,0.0,255.0,425.0
APC BN1100M2,349.99,600.0,1100.0
Tripp Lite SMART2200NET,1162.99,1700.0,2200.0
APC Back-UPS 850,149.99,510.0,850.0
APC BR1200GI,0.0,720.0,1200.0
APC SMT2200I,0.0,1980.0,2200.0
CyberPower CP350SLG,0.0,255.0,350.0
Lenovo 55943AX,0.0,2700.0,3000.0
Tripp Lite SU1500XLCD,961.19,1350.0,1500.0
APC BE550G,96.86,330.0,550.0
APC SUA5000RMT5U,4676.49,4000.0,5000.0
Tripp Lite SMART1000LCD,178.0,500.0,1000.0
Tripp Lite SMX3000XLRT2UA,1584.33,2700.0,3000.0
CyberPower CP900EPFCLCD,0.0,540.0,900.0
APC SRT5KRMXLI,3999.0,4500.0,5000.0
APC SMT1500I,1125.01,980.0,1500.0
APC SMX1500RMI2U,1255.93,1200.0,1500.0
APC SMX2000RMLV2UNC,1649.99,1800.0,1920.0
APC SMX3000HVNC,3388.0,2700.0,3000.0
APC SURTA3000RMXL3U,2529.0,2100.0,3000.0
Tripp Lite SM2200RMNAFTA,1306.24,1600.0,2200.0
Tripp Lite SU12000RT4U,0.0,8400.0,12000.0
Tripp Lite OMNIVSINT1500XL,359.55,940.0,1500.0
Tripp Lite SMART5000XFMRXL,3735.58,3750.0,5000.0
CyberPower LX1500GU-FC,0.0,900.0,1500.0
APC BK350EI,0.0,210.0,350.0
APC BR1500GI,549.99,865.0,1500.0
Tripp Lite SMART1200LCD,324.69,700.0,1200.0
APC SMC1000,514.79,600.0,1000.0
APC SMT3000I,2198.0,2700.0,3000.0
APC SUM3000RMXLI2U,8596.0,2850.0,3000.0
APC BN650M1,118.02,360.0,650.0
APC SY12KEXBX120,0.0,8400.0,12000.0
Tripp Lite SU10KRT3UHV,0.0,7000.0,10000.0
CyberPower BRG1000AVRLCD,162.94,600.0,1000.0
IBM 53959KX,0.0,10000.0,11000.0
APC Back-UPS Pro 1350VA,182.99,810.0,1350.0
APC SC420,0.0,260.0,420.0
CyberPower CP850AVRLCD,149.95,510.0,850.0
APC SC450RMI1U,337.99,280.0,450.0
Tripp Lite SU1500RTXLCD2U,921.86,1350.0,1500.0
APC BK650EI,0.0,400.0,650.0
APC SMX1500RM2UNC,1458.5,1200.0,1500.0
Tripp Lite SMART1500CRMXL,1253.29,1440.0,1500.0
Tripp Lite SMT1500LCDT,255.99,900.0,1500.0
Tripp Lite SMART5000TEL3U,3600.61,3750.0,5000.0
APC DLT1500I,0.0,1000.0,1500.0
APC SMC1500I-2U,902.43,900.0,1500.0
APC SMT2200US,1699.99,1980.0,2200.0
APC SMX1000,769.99,800.0,1000.0
APC SMX2200RMLV2U,1537.26,1980.0,2200.0
APC SMX3000HV,2568.94,2700.0,3000.0
APC SMX3000RMHV2U,2620.3,2700.0,3000.0
APC SRT8KRMXLI,0.0,8000.0,8000.0
Tripp Lite SMART2200VS,928.48,1600.0,2200.0
Tripp Lite SMART3000RM2U,1322.55,2250.0,3000.0
Tripp Lite SU6000RT4UTFHW,4305.76,5400.0,6000.0
Tripp Lite SU1500RTXL2UN,0.0,1200.0,1500.0
CyberPower CP600LCD,107.74,340.0,600.0
CyberPower OL2200RTXL2U,1619.95,1800.0,2200.0
IBM 2130R6X,0.0,1050.0,1500.0
Eaton 66942,0.0,250.0,500.0
APC BR1500MS,0.0,900.0,1500.0
CyberPower CST135UC,0.0,810.0,1350.0
Tripp Lite SMART1500RM2U,757.57,1350.0,1500.0
Tripp Lite SU3000RTXLCD2U,2087.88,2700.0,3000.0
Tripp Lite SMX1500LCDT,285.38,900.0,1500.0
CyberPower GX1500U,229.99,900.0,1500.0
Tripp Lite SMC15002URM,654.59,1000.0,1500.0
APC BN600G,79.98,360.0,600.0
APC SRT8KRMXLT,6935.97,8000.0,8000.0
Tripp Lite OMNIVS1000,200.2,500.0,1000.0
Tripp Lite OMNIVS1500,264.99,940.0,1500.0
Tripp Lite OMNIVS1500XL,277.39,940.0,1500.0
Tripp Lite SMX1500LCD,409.99,900.0,1500.0
Tripp Lite SM1500XLNAFTA,716.38,980.0,1500.0
CyberPower OR500LCDRM1U,199.95,300.0,500.0
APC APC3IA,0.0,2250.0,3000.0
APC BGE90M,0.0,75.0,125.0
APC BK500BLK,141.49,300.0,500.0
APC BR900GI,0.0,540.0,900.0
APC BX1000G,0.0,600.0,1000.0
APC SC420I,229.0,260.0,420.0
APC SMC1000I,0.0,600.0,1000.0
APC SMC1500,580.22,900.0,1500.0
APC SMT1500,798.99,980.0,1500.0
APC SMT1500RMI2U,0.0,1000.0,1500.0
APC SMT1500RMUS,649.0,1000.0,1500.0
APC SMT1500X448,0.0,1000.0,1500.0
APC SMT2200RM2U,1689.0,1980.0,2200.0
APC SMT3000R2X145,1975.0,2700.0,3000.0
APC SMT3000RMI2U,0.0,2700.0,3000.0
APC SMT750,473.14,500.0,750.0
APC SMT750RM2U,788.99,500.0,750.0
APC SMT750RMI2U,801.56,500.0,750.0
APC SMX2200HV,2650.9,1980.0,2200.0
APC SMX3000LV,1891.23,2700.0,3000.0
APC SMX3000LVNC,2286.04,2700.0,3000.0
APC SMX3000RMLV2U,2188.19,2700.0,3000.0
APC SMX3000RMLV2UNC,2499.99,2700.0,3000.0
APC SRT5KRMXLT,3964.0,4250.0,5000.0
APC SRT5KRMXLW-HW,0.0,4500.0,5000.0
APC SRT6KRMXLT,5939.99,6000.0,6000.0
APC SUA5000R5TXFMR,0.0,4000.0,5000.0
APC SUA750IX38,0.0,500.0,750.0
APC SUM1500RMXLI2U,0.0,1425.0,1500.0
APC SURTA1500RMXL2U,1499.0,1050.0,1500.0
APC SURTD3000XLI,0.0,2100.0,3000.0
APC SURTD6000RMXLP3U,6850.0,4200.0,6000.0
Tripp Lite AVR550U,89.11,300.0,550.0
Tripp Lite AVR700U,105.99,350.0,700.0
Tripp Lite AVR750U,120.99,450.0,750.0
Tripp Lite AVR900U,126.99,480.0,900.0
Tripp Lite OMNI650LCD,157.07,350.0,650.0
Tripp Lite OMNISMART350HG,473.08,225.0,330.0
Tripp Lite SM1000RM2UTAA,615.66,700.0,1000.0
Tripp Lite SM2200RMXL2UTAA,1307.3,1600.0,2200.0
Tripp Lite SM3000RMXLNTAA,1613.11,2880.0,3000.0
Tripp Lite SMART1200XLHG,935.34,750.0,1000.0
Tripp Lite SMART1500RMXL2UA,817.3,1350.0,1500.0
Tripp Lite SMART2200RMXLN,1407.62,1920.0,2200.0
Tripp Lite SMART2200VSXL,0.0,1600.0,2200.0
Tripp Lite SMART3000NET,0.0,2400.0,3000.0
Tripp Lite SU2200RTXL2UA,1379.05,1600.0,2200.0
Tripp Lite SU2200XLCD,1200.82,1800.0,2200.0
Tripp Lite SU3000RTXR3U,0.0,2400.0,3000.0
Tripp Lite SU6000RT4UHV,3820.8,5400.0,6000.0
Tripp Lite SU6000RT4UHVG,3069.44,5400.0,6000.0
Tripp Lite SMX1050SLT,0.0,650.0,1050.0
Tripp Lite SMX1500XLRT2U,965.24,1350.0,1500.0
APC SUA1500,0.0,980.0,1440.0
CyberPower BRG1500AVRLCDTAA,0.0,900.0,1500.0
CyberPower CP1000PFCLCDTAA,201.95,600.0,1000.0
CyberPower CP550SL,0.0,330.0,550.0
CyberPower CS16U48V-8,0.0,16.0,0.0
CyberPower OL3000RTXL2U,2119.94,2700.0,3000.0
CyberPower OR1500LCDRM1U,556.95,900.0,1500.0
CyberPower PR1000LCD,439.95,700.0,1000.0
CyberPower PR1000LCDRT2U,0.0,700.0,1000.0
CyberPower PR1000LCDTAA,0.0,700.0,1000.0
CyberPower PR1500LCDRT2UTAA,0.0,1000.0,1500.0
CyberPower PR1500LCDRTXL2Ua,0.0,1350.0,1500.0
CyberPower PR2200LCDRT2UTAA,0.0,1600.0,2170.0
CyberPower PR3000LCDRTXL2U,0.0,3000.0,3000.0
CyberPower PR500LCDRT1U,362.95,400.0,500.0
Belkin F6H650-SER,0.0,360.0,650.0
HP AF449A,0.0,670.0,1000.0
CyberPower BU800E-UK,0.0,400.0,800.0
CyberPower CST1500S,0.0,900.0,1500.0
APC Back-UPS 1350,189.99,810.0,1350.0
APC Back-UPS Pro 1375VA,0.0,810.0,1375.0
Tripp Lite SU1500XL,1068.06,1200.0,1500.0
APC BR550GI,0.0,330.0,550.0
Tripp Lite INTERNET550U,81.77,300.0,550.0
Tripp Lite OMNI1500LCDT,188.07,810.0,1500.0
Tripp Lite SMC10002URM,418.99,700.0,1000.0
APC BK500EI,146.99,300.0,500.0
APC SMT1000RMI2U,0.0,700.0,1000.0
APC SMT2200RMUS,1199.0,1980.0,2200.0
APC SUM3000RMXL2U,2035.25,2850.0,3000.0
Tripp Lite ECO750UPS,117.55,450.0,750.0
Tripp Lite INTERNET350SER,80.22,180.0,350.0
Tripp Lite INTERNET350U,73.04,180.0,350.0
Tripp Lite INTERNET600U,87.99,300.0,600.0
Tripp Lite INTERNET750U,114.84,450.0,750.0
Tripp Lite SM1500RMXL2UTAA,910.72,1350.0,1500.0
Tripp Lite SMART2200RM2U,1133.16,1920.0,2200.0
Tripp Lite SMART750RM1U,555.67,600.0,750.0
Tripp Lite SMX1200XLHG,0.0,750.0,1000.0
Tripp Lite SMART3000RMXLN,0.0,2880.0,3000.0
CyberPower CP825AVRLCD,120.95,450.0,825.0
CyberPower CPS1500AVR,459.95,950.0,1500.0
CyberPower OL1000RTXL2U,894.95,900.0,1000.0
CyberPower PR1000LCDRT1U,604.95,800.0,1000.0
Fellowes 99067,130.0,0.0,600.0
Tripp Lite SM1000RM1UTAA,723.99,800.0,1000.0
Tripp Lite SM3000RM2UTAA,0.0,2250.0,3000.0
APC SMT1000,696.0,670.0,1000.0
APC SMT1000J,0.0,670.0,1000.0
APC BE325-GR,0.0,185.0,325.0
APC BE350G,0.0,200.0,350.0
APC BE350G-CN,0.0,200.0,350.0
APC BE400-GR,144.86,240.0,400.0
APC BE450G,0.0,257.0,450.0
APC BE450G-CN,0.0,257.0,450.0
APC BE325,0.0,185.0,325.0
APC BE325-LM,0.0,185.0,325.0
APC BE325R,0.0,185.0,325.0
APC BE350,0.0,225.0,350.0
APC BE350C,0.0,200.0,350.0
APC BE350G-LM,0.0,200.0,350.0
APC BE350R,0.0,200.0,350.0
APC BE350R-CN,0.0,200.0,350.0
APC BE350U-CN,0.0,200.0,350.0
APC BE400-CP,0.0,240.0,400.0
APC BE400-FR,332.0,240.0,400.0
APC BE450G-LM,0.0,257.0,450.0
APC BE500R,0.0,300.0,500.0
APC BE500R-CN,0.0,300.0,500.0
APC BE500U-CN,0.0,300.0,500.0
APC BE525-RS,0.0,300.0,525.0
APC BE550-CP,0.0,330.0,550.0
APC BE550-GR,0.0,330.0,550.0
APC BE550-UK,0.0,330.0,700.0
APC BF350U,0.0,225.0,350.0
APC BE550G-CN,0.0,330.0,550.0
APC BE550G-GR,0.0,330.0,550.0
APC BE550G/LM,0.0,330.0,550.0
APC BE550R,0.0,330.0,550.0
APC BE550R-CN,0.0,330.0,550.0
APC BE600-LM,0.0,360.0,600.0
APC BE650BB,0.0,390.0,650.0
APC BE650G,0.0,390.0,650.0
APC BE650G1-CN,132.99,390.0,650.0
APC BE650G1-LM,128.13,390.0,650.0
APC BE650G-CN,0.0,390.0,650.0
APC BE650G-LM,0.0,390.0,650.0
APC BE650MC,0.0,390.0,650.0
APC BE650R,0.0,390.0,650.0
APC BE650R-CN,0.0,390.0,650.0
APC BE700-AZ,0.0,405.0,700.0
APC BE700-CP,0.0,405.0,700.0
APC BE700G-GR,0.0,405.0,700.0
APC BE700-GR,0.0,405.0,700.0
APC BE700G-UK,0.0,405.0,700.0
APC BE700-UK,0.0,405.0,700.0
APC BE750BB,0.0,450.0,750.0
APC BE750BB-CN,0.0,450.0,750.0
APC BE750BBX450,0.0,450.0,750.0
APC BE750G,0.0,450.0,750.0
APC BE750G-CN,0.0,450.0,750.0
APC BE750G-LM,0.0,450.0,750.0
APC BF350-FR,0.0,225.0,350.0
APC BF350-GR,0.0,225.0,350.0
APC BF500,0.0,325.0,500.0
APC BF500-AZ,0.0,325.0,500.0
APC BF500-GR,0.0,325.0,500.0
APC BF500U,0.0,325.0,500.0
APC BF500-UK,0.0,325.0,500.0
APC BG500,0.0,300.0,500.0
APC BH500INET,0.0,300.0,500.0
APC BH500NET,0.0,300.0,500.0
APC BK200,0.0,130.0,200.0
APC BK300C,0.0,180.0,300.0
APC BK300MI,0.0,180.0,300.0
APC BK400,0.0,250.0,400.0
APC BK450,0.0,300.0,450.0
APC BK500JP,0.0,300.0,500.0
APC BK500JS,0.0,300.0,500.0
APC BK500MI,0.0,300.0,500.0
APC BK600,0.0,400.0,600.0
APC BN4001,0.0,257.0,450.0
APC BN700MC,0.0,420.0,700.0
APC BR1300G,0.0,780.0,1300.0
APC BR500CI-AS,130.22,300.0,500.0
APC BX1300G,0.0,780.0,1300.0
APC BX1500G,0.0,865.0,1500.0
APC DLT1500RMI2U,0.0,1000.0,1500.0
APC J10BLK,0.0,600.0,1000.0
APC J15BLK,0.0,865.0,1500.0
APC SC1000,0.0,600.0,1000.0
APC SC1000I,0.0,600.0,1000.0
APC SC1500I,0.0,865.0,1500.0
APC SC450R1X542,0.0,280.0,450.0
APC SC450RM1U,610.0,280.0,450.0
APC SC620,357.0,390.0,620.0
APC SC620I,0.0,390.0,620.0
APC SC620X565,0.0,410.0,620.0
APC SMC1000-2U,0.0,600.0,1000.0
