name,price,interface,color
TP-Link TG-3468,14.99,PCIe x1,Unknown
StarTech ST10GPEXNDPI,436.22,PCIe x4,Black / Silver
Asus XG-C100C,93.52,PCIe x4,Unknown
Intel X540-T2,75.89,PCIe x8,Unknown
TP-Link TX201,26.99,PCIe x1,Black / Gold
TP-Link TX401,89.99,PCIe x4,Red
Intel X550-T2,205.0,PCIe x4,Unknown
Intel E1G44ET2BLK,355.2,PCIe x4,Unknown
StarTech ST10GSPEXNDP,0.0,PCIe x8,Black / Silver
Intel EXPI9301CTBLK,61.0,PCIe x1,Unknown
Intel X520-DA1,99.0,PCIe x8,Green
StarTech ST1000SPEX42,394.91,PCIe x4,Unknown
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,79.98,PCIe x4,Green / Silver
Syba SD-PEX24066,33.1,PCIe x1,Green / Black
Intel E1G42ETBLK,51.0,PCIe x4,Unknown
Syba SY-ADA24029,9.99,USB Type-A 2.0,Unknown
SIIG LB-GE0311-S1,225.5,PCIe x8,Black / Green
Monoprice 112909,21.88,USB Type-C 3.2 Gen 2,White
Gigabyte GC-AQC107,0.0,PCIe x4,Black / White
Intel E1G44HTBLK,77.0,PCIe x4,Unknown
Intel X710-T2L,259.0,PCIe x8,Green / Black
StarTech USB32000SPT,58.99,USB Type-A 3.2 Gen 1,Unknown
TP-Link UE306,12.98,USB Type-A 3.2 Gen 1,Black
Intel I226T1,75.03,PCIe x1,Green
Syba SD-PEX24055,77.86,PCIe x4,Green / Black
StarTech ST10GSPEXNB2,168.99,PCIe x2,Silver / Black
TRENDnet TEG-25GECTX,24.99,PCIe x1,Blue
QNAP QXG2G2TI225,79.0,PCIe x2,Green / Copper
SIIG LB-GE0211-S1,223.2,PCIe x4,Green / Black
StarTech ST10GSPEXNDP2,289.55,PCIe x4,Black / Silver
Syba SI-PEX24042,46.84,PCIe x1,Green / Black
Asus USB-C2500,29.99,USB Type-A 3.2 Gen 1,Gray
QNAP QXG5G1T111C,99.0,PCIe x1,Blue / Silver
QLogic QLE3242-CU-CK,0.0,PCIe x8,Unknown
Intel X520-T2,0.0,PCIe x8,Green / Black
Supermicro AOC-STG-i2T,369.0,PCIe x8,Unknown
Intel EXPI9301CT,65.0,PCIe x1,Unknown
QNAP QXG-10G1T,139.0,PCIe x4,Unknown
StarTech ST1000SPEX2L,23.29,PCIe x1,Unknown
Intel EXPI9404PTLBLK-1PK,0.0,PCIe x4,Unknown
TP-Link UE300,12.99,USB Type-A 3.2 Gen 1,Unknown
StarTech ST2000PEXPSE,161.49,PCIe x1,Unknown
EDUP EP-9602GS,0.0,PCIe x1,Black
Asus ROG AREION,0.0,PCIe x4,Black
Intel EXPI9402PTG2P20,69.61,PCIe x4,Green / Black
TP-Link UE300C,14.97,USB Type-C,Black
StarTech ST1000SPEX4,345.99,PCIe x4,Unknown
StarTech ST1000SPEX2,23.29,PCIe x1,Unknown
QNAP QXG-2G1T-I225,40.15,PCIe x1,Green / Silver
StarTech ST2GPEX,33.99,PCIe x1,Black
Belkin F5D5000,8.83,PCI,Unknown
Lenovo 7ZT7A00482,83.85,PCIe x1,Green / Black
StarTech ST10GSPEXNB,148.46,PCIe x4,Black
Asus PCE-C2500,0.0,PCIe x1,Red
Tripp Lite U436-06N-2P5,46.03,USB Type-C 3.2 Gen 1,Black
TP-Link TG-3269,0.0,PCI,Unknown
Gigabyte GC-AQC113C 10G,0.0,PCIe x4,White / Silver
Syba SY-PEX24030,22.65,PCIe x1,Unknown
Edimax EU-4208,10.99,USB Type-A 2.0,Unknown
Syba SY-PEX24028,46.43,PCIe x1,Unknown
Intel E1G44HT,124.5,PCIe x4,Unknown
Syba SY-PEX24045,89.99,PCIe x4,Green / Black
TRENDnet TUC-ET2G,24.99,USB Type-C 3.2 Gen 1,Black
Syba SY-HUB24047,0.0,USB Type-A 3.2 Gen 1,Black
Rosewill RC-NIC416Dual,0.0,PCIe x4,Black / Silver
StarTech PEX100S,17.98,PCIe x1,Unknown
Intel EXPI9404PTL,0.0,PCIe x4,Unknown
Intel E10G42BT,0.0,PCIe x8,Unknown
Intel EXPI9402PT,0.0,PCIe x4,Unknown
Intel EXPI9404PTLBLK,0.0,PCIe x4,Unknown
StarTech ST10000SPEX,0.0,PCIe x4,Unknown
StarTech US2GC30,42.99,USB Type-C 3.2 Gen 1,Silver
Syba SD-PEX24009,16.39,PCIe x1,Unknown
StarTech ST3300U3S,44.85,USB Type-A 3.2 Gen 1,Unknown
SIIG LB-GE0014-S1,112.44,PCIe x4,Green / Black
StarTech USB31000NDS,31.99,USB Type-A 3.2 Gen 1,Unknown
D-Link DXE-820T,0.0,PCIe x8,Unknown
D-Link DGE-560T,0.0,PCIe x1,Unknown
StarTech USB31000S2,24.84,USB Type-A 3.2 Gen 1,Black / Silver
Intel PWLA8391GTBLK,37.0,PCI,Unknown
Edimax EN-9320TX-E,0.0,PCIe x4,Silver / Green
Intel E1G44ET2,0.0,PCIe x4,Unknown
SIIG CN-GP1021-S3,30.35,PCIe x1,Unknown
Acer NP.OTH11.005,0.0,USB Type-A 2.0,Unknown
Lenovo 4X90E51405,27.2,USB Type-A 3.2 Gen 1,Unknown
Linksys USB3GIG,0.0,USB Type-A 3.2 Gen 1,Black
HP E0X95AA,0.0,PCIe x1,Green
StarTech USB21000S2,29.99,USB Type-A 2.0,Unknown
Intel E1G42ET,0.0,PCIe x4,Unknown
Intel PWLA8391GTLBLK,60.6,PCI,Unknown
Belkin F4U047-RS,0.0,USB Type-A 2.0,Unknown
VisionTek Bigfoot Killer 2100,0.0,PCIe x1,Unknown
Edimax EU-4306,0.0,USB Type-A 3.2 Gen 1,Unknown
Rosewill RNG-407-Dual,0.0,PCIe x1,Unknown
StarTech ST1000SPEXD3,99.99,PCIe x1,Unknown
Cisco N2XX-ABPCI03-M3=,0.0,PCIe x4,Unknown
Syba SY-ADA24040,0.0,USB Type-A 3.2 Gen 1,Unknown
Belkin F2CU040btBLK,21.99,USB Type-C 3.2 Gen 1,Unknown
D-Link DUB-1312,52.88,USB Type-A 3.2 Gen 1,Black
TP-Link UE305,0.0,USB Type-A 3.2 Gen 1,Black
Syba SD-PEX24065,39.99,PCIe x1,Green
SIIG LB-GE0611-S1,50.44,PCIe x1,Green / Black
StarTech ST1000BT32,16.05,PCI,Unknown
Intel PWLA8492MT,92.0,PCI-X,Unknown
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,Unknown
StarTech USB31000S,26.34,USB Type-A 3.2 Gen 1,Unknown
Asus NX1101,0.0,PCI,Unknown
Rosewill RC-401-EX,0.0,PCIe x1,Unknown
D-Link DFE530TX+,19.98,PCI,Unknown
D-Link DGE-530T,27.99,PCI,Unknown
D-Link DUB-E100,0.0,USB Type-A 2.0,Unknown
Syba SD-ADA24032,0.0,USB Type-A 3.2 Gen 1,Unknown
TP-Link TF-3239DL,0.0,PCI,Unknown
Tripp Lite U436-000-GB,20.63,USB Type-C 3.2 Gen 1,Black
Belkin B2B145-BLK,29.77,USB Type-C 3.2 Gen 1,Black
Supermicro AOC-SG-i2,0.0,PCIe x4,Unknown
Intel PWLA8391GT,34.2,PCI,Unknown
Rosewill RC-400-LX,23.99,PCI,Unknown
SIIG CN-GP2011-S1,0.0,PCIe x1,Unknown
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,Unknown
Rosewill RC-400,0.0,PCI,Unknown
Rosewill RC-404,0.0,PCI,Unknown
Rosewill RNF-405U,0.0,USB Type-A 2.0,Unknown
Rosewill RNG-406U,0.0,USB Type-A 3.2 Gen 1,Unknown
StarTech ST100S,0.0,PCI,Unknown
Syba SY-ADA24024,0.0,USB Type-A 2.0,Unknown
TRENDnet TE100-PCIWN,0.0,PCI,Unknown
Intel EXPI9402PTBLK-1PK,0.0,PCIe x4,Unknown
Intel PWLA8391GTBLK-1PK,0.0,PCI,Unknown
Intel PWLA8490MTBLK,0.0,PCI-X,Unknown
Intel PWLA8492MTBLK5,0.0,PCI-X,Unknown
SIIG CN-GP1011-S3,0.0,PCI,Unknown
StarTech ST1000SPEXD2,0.0,PCIe x1,Unknown
Syba SY-ADA24005,0.0,USB Type-A 2.0,Unknown
Syba SY-ADA24027,0.0,USB Type-A 2.0,Unknown
TRENDnet TEG-PCITXR,30.79,PCI,Unknown
StarTech ST1000SPEX,0.0,PCIe x1,Unknown
Rosewill RC-402,0.0,PCI,Unknown
Netgear GA311,50.0,PCI,Unknown
Rosewill RC-411,0.0,PCIe x1,Unknown
SIIG CN-GP4011-S1,0.0,PCIe x4,Unknown
StarTech USB31000SW,18.75,USB Type-A 3.2 Gen 1,Unknown
SIIG JU-NE0511-S1,0.0,USB Type-A 3.2 Gen 1,Unknown
StarTech USB31000SPTB,29.98,USB Type-A 3.2 Gen 1,Unknown
StarTech USB31000SPTW,30.31,USB Type-A 3.2 Gen 1,Unknown
Edimax EN-9130TXL,0.0,PCI,Unknown
Syba SI-ADA24037,0.0,USB Type-A 3.2 Gen 1,Unknown
SIIG CN-GP1111-S1,0.0,PCIe x4,Unknown
SIIG CN-GP4111-S1,0.0,PCIe x4,Unknown
SIIG JU-NE0711-S1,0.0,USB Type-A 3.2 Gen 1,Black
Syba SY-PEX24056,0.0,PCIe x4,Green / Black
Supermicro SGP-i4,0.0,PCIe x4,Green / Silver
Rosewill RNG-408U,0.0,USB Type-C 3.2 Gen 1,Black
V7 V7UCRJ45-BLK-1N,24.99,USB Type-C 3.2 Gen 1,Black
SIIG JU-NE0621-S2,0.0,USB Type-A 3.2 Gen 1,White
Rosewill RC-20001,0.0,PCIe x1,Black
